bigregn_code	bigregn_name	dc_code	dc_name	regn_code	regn_name	area_code	area_name	city_code	city_name	compete_store	hig_md_low_level	store_type	flop_type_name	innovate_type_name	openbusi_dt	store_code	store_name	subregn_code	subregn_name	is_enabled	deleted	sync_time
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500011	江门_邓双	0203	江门	未分类	中档店	加盟店		非创新店	2018-04-01	1516	江门鹤山市碧桂园店	F0750003	江门_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500011	江门_邓双	0203	江门	未分类	中档店	加盟店		非创新店	2018-03-30	1517	江门鹤山市华侨新村店	F0750003	江门_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570011	广州_刘晓梦	0202	佛山	未分类	中档店	加盟店		非创新店	2018-03-30	1518	佛山顺德万科水晶城店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107570007	广州_刘敏君	0202	佛山	未分类	中档店	加盟店		非创新店	2018-03-31	1519	佛山市南海区江浦东路店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0204	中山	未分类	未分类	其他		非创新店	2018-04-07	1520	中山东升镇丽城花园店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0201	广州	未分类	中档店	其他		非创新店	2019-03-30	1521	广州市增城区新塘时尚广场店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	未分类	中档店	加盟店		非创新店	2018-04-07	1522	珠海香洲区水岸花都店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	二级竞争店	中档店	加盟店		非创新店	2018-04-17	1523	珠海市香洲区日东花园店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570011	广州_刘晓梦	0202	佛山	未分类	中档店	加盟店		非创新店	2018-04-22	1524	佛山市南海区保利中央公馆店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	未分类	中档店	加盟店		非创新店	2018-04-27	1525	珠海市金湾区时代山湖海店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500022	中山_陆兴搏	0204	中山	未分类	高档店	加盟店		非创新店	2018-05-08	1526	中山市西区水悦熙园店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500011	江门_邓双	0203	江门	二级竞争店	中档店	加盟店		非创新店	2018-05-05	1527	江门开平市天御云景苑店	F0750003	江门_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500022	中山_陆兴搏	0204	中山	未分类	高档店	加盟店		非创新店	2018-05-05	1528	中山市东区万象花园店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500011	江门_邓双	0203	江门	未分类	低档店	加盟店		非创新店	2018-05-19	1529	江门台山市东方广场店	F0750003	江门_严海国	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570011	广州_刘晓梦	0202	佛山	未分类	中档店	加盟店		非创新店	2018-05-08	1530	佛山市南海区怡翠世嘉店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	二级竞争店	中档店	加盟店		非创新店	2018-05-12	1531	珠海市金湾区万科城市花园店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000008	广州_洪好齐	0201	广州	二级竞争店	中档店	加盟店		非创新店	2018-05-05	1532	广州市花都区祈福天龙苑店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570011	广州_刘晓梦	0202	佛山	未分类	中档店	加盟店		非创新店	2018-05-12	1533	佛山市南海区金域花园店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0201	广州	未分类	中档店	加盟店		非创新店	2018-05-11	1534	广州市增城区新塘东景华庭	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0203	江门	未分类	中档店	加盟店		非创新店	2018-04-29	1535	江门恩平市金沙时代广场店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0202	佛山	未分类	中档店	加盟店		非创新店	2018-06-02	1536	佛山市南海区泰成逸园店	076400	广州闭店	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	未分类	中档店	加盟店		非创新店	2018-05-01	1537	珠海市香洲区天钻假日店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	未分类	中档店	加盟店		非创新店	2018-05-01	1538	珠海市香洲区万科城店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	未分类	中档店	加盟店		非创新店	2018-05-19	1539	珠海市香洲区金地伊顿山店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570011	广州_刘晓梦	0202	佛山	未分类	中档店	加盟店		非创新店	2018-06-01	1540	佛山市南海区保利西雅图店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0203	江门	未分类	中档店	加盟店		非创新店	2018-05-22	1541	江门台山市城北商业城店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0202000013	广州_林宝相	0201	广州	未分类	中档店	加盟店		非创新店	2018-06-08	1542	广州市天河区五山花园2店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	未分类	中档店	加盟店		非创新店	2018-05-28	1543	珠海市金湾区和泰美居店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	二级竞争店	中档店	加盟店		非创新店	2018-05-27	1544	珠海市香洲区钰海山庄店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570009	广州_谢凤兰	0202	佛山	未分类	中档店	加盟店		非创新店	2018-06-08	1545	佛山市南海区桂丹颐景园店	F0200001	广州_占丽娟	0	0	2022-04-20 04:26:58
